,X,name,tp,fp,fn,geno,prec2,reca2,F1_2,hand_count,auto_count
1,2,BKO-426-S42-Iba-Syn-Cortex-10x-F1a_XY1562195071_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,117,14,18,gp,0.893129771,0.866666667,0.879699248,135,131
2,3,BKO-426-S42-Iba-Syn-Cortex-10x-F3a_XY1562195201_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,95,28,7,gp,0.772357724,0.931372549,0.844444444,102,123
3,4,BKO-426-S57-Iba-Syn-Cortex-10x-F1a_XY1562014005_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,76,18,27,gp,0.808510638,0.737864078,0.771573604,103,94
4,5,BKO-426-S57-Iba-Syn-Cortex-10x-F2a_XY1562014121_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,92,24,21,gp,0.793103448,0.814159292,0.80349345,113,116
5,6,BKO-426-S57-Iba-Syn-Cortex-10x-F3a_XY1562014202_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,106,25,13,gp,0.809160305,0.890756303,0.848,119,131
6,7,BKO-426-S72-Iba-Syn-Cortex-10x-F1a_XY1562014556_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,100,17,19,gp,0.854700855,0.840336134,0.847457627,119,117
7,8,BKO-426-S72-Iba-Syn-Cortex-10x-F2a_XY1562014702_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,115,13,20,gp,0.8984375,0.851851852,0.874524715,135,128
8,9,BKO-426-S72-Iba-Syn-Cortex-10x-F3a_XY1562014820_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,103,18,11,gp,0.851239669,0.903508772,0.876595745,114,121
9,10,BKO-428-S42-Iba-Syn-Cortex-10x-F4a_XY1561767291_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,114,12,55,gp,0.904761905,0.674556213,0.772881356,169,126
10,11,BKO-428-S57-Iba-Syn-Cortex-10x-F1a_XY1562015301_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,143,14,28,gp,0.910828025,0.83625731,0.87195122,171,157
11,12,BKO-428-S57-Iba-Syn-Cortex-10x-F2a_XY1562015469_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,129,22,10,gp,0.854304636,0.928057554,0.889655172,139,151
12,13,BKO-428-S57-Iba-Syn-Cortex-10x-F3a_XY1562015620_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,114,16,15,gp,0.876923077,0.88372093,0.88030888,129,130
13,14,BKO-428-S72-Iba-Syn-Cortex-10x-F1a_XY1562015804_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,115,21,28,gp,0.845588235,0.804195804,0.82437276,143,136
14,15,BKO-442-S44-Iba-Syn-Cortex-10x-F2a_XY1562190450_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,99,7,18,wt,0.933962264,0.846153846,0.887892377,117,106
15,16,BKO-442-S44-Iba-Syn-Cortex-10x-F3a_XY1562190495_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,95,2,18,wt,0.979381443,0.840707965,0.904761905,113,97
16,17,BKO-442-S57-Iba-Syn-Cortex-10x-F1a_XY1562190558_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,107,8,14,wt,0.930434783,0.884297521,0.906779661,121,115
17,18,BKO-442-S57-Iba-Syn-Cortex-10x-F2a_XY1562190624_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,96,7,19,wt,0.932038835,0.834782609,0.880733945,115,103
18,19,BKO-442-S57-Iba-Syn-Cortex-10x-F3a_XY1562190686_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,86,11,21,wt,0.886597938,0.803738318,0.843137255,107,97
19,20,BKO-442-S72-Iba-Syn-Cortex-10x-F1a_XY1562190746_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,84,9,31,wt,0.903225806,0.730434783,0.807692308,115,93
20,21,BKO-442-S72-Iba-Syn-Cortex-10x-F2a_XY1562190790_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,99,4,18,wt,0.961165049,0.846153846,0.9,117,103
21,22,BKO-442-S72-Iba-Syn-Cortex-10x-F3a_XY1562190851_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,62,5,22,wt,0.925373134,0.738095238,0.821192053,84,67
22,23,BKO-443-S42-Iba-Syn-Cortex-10x-F1a_XY1562016482_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,87,13,18,gp,0.87,0.828571429,0.848780488,105,100
23,24,BKO-443-S42-Iba-Syn-Cortex-10x-F2a_XY1562016613_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,105,10,23,gp,0.913043478,0.8203125,0.864197531,128,115
24,25,BKO-443-S42-Iba-Syn-Cortex-10x-F3a_XY1562016746_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,115,14,14,gp,0.891472868,0.891472868,0.891472868,129,129
25,26,BKO-443-S57-Iba-Syn-Cortex-10x-F2a_XY1562017243_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,105,24,13,gp,0.813953488,0.889830508,0.850202429,118,129
26,27,BKO-443-S57-Iba-Syn-Cortex-10x-F3a_XY1562017420_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,127,19,10,gp,0.869863014,0.927007299,0.897526502,137,146
27,28,BKO-443-S72-Iba-Syn-Cortex-10x-F1a_XY1562017560_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,113,5,24,gp,0.957627119,0.824817518,0.88627451,137,118
28,29,BKO-443-S72-Iba-Syn-Cortex-10x-F2a_XY1562017680_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,88,13,27,gp,0.871287129,0.765217391,0.814814815,115,101
29,30,BKO-460-S42-Iba-Syn-Cortex-10x-F1a_XY1562190983_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,93,4,19,wt,0.958762887,0.830357143,0.889952153,112,97
30,31,BKO-460-S42-Iba-Syn-Cortex-10x-F2a_XY1562191061_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,82,5,30,wt,0.942528736,0.732142857,0.824120603,112,87
31,32,BKO-460-S42-Iba-Syn-Cortex-10x-F3a_XY1562191138_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,94,7,24,wt,0.930693069,0.796610169,0.858447489,118,101
32,33,BKO-460-S57-Iba-Syn-Cortex-10x-F2a_XY1562191269_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,59,3,21,wt,0.951612903,0.7375,0.830985915,86.12522608,66.74705021
33,34,BKO-460-S57-Iba-Syn-Cortex-10x-F3a_XY1562191310_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,58,7,31,wt,0.892307692,0.651685393,0.753246753,97.19064436,70.98193128
34,35,BKO-460-S72-Iba-Syn-Cortex-10x-F1a_XY1562191401_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,69,5,30,wt,0.932432432,0.696969697,0.797687861,99,74
35,36,BKO-460-S72-Iba-Syn-Cortex-10x-F2a_XY1562191355_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,73,2,20,wt,0.973333333,0.784946237,0.869047619,93,75
36,37,BKO-460-S72-Iba-Syn-Cortex-10x-F3a_XY1562191470_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,90,6,23,wt,0.9375,0.796460177,0.861244019,113,96
37,38,BKO-462-S42-Iba-Syn-Cortex-10x-F2a_XY1562191589_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,121,7,13,wt,0.9453125,0.902985075,0.923664122,134,128
38,39,BKO-462-S42-Iba-Syn-Cortex-10x-F3a_XY1562191625_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,104,7,22,wt,0.936936937,0.825396825,0.877637131,126,111
39,40,BKO-462-S57-Iba-Syn-Cortex-10x-F2a_XY1562191714_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,105,7,26,wt,0.9375,0.801526718,0.864197531,131,112
40,41,BKO-462-S57-Iba-Syn-Cortex-10x-F3a_XY1562191756_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,113,0,31,wt,1,0.784722222,0.879377432,144,113
41,42,BKO-462-S72-Iba-Syn-Cortex-10x-F1a_XY1562191815_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,85,0,42,wt,1,0.669291339,0.801886792,127,85
42,43,BKO-462-S72-Iba-Syn-Cortex-10x-F2a_XY1562191857_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.pngthrsh.png,82,4,39,wt,0.953488372,0.67768595,0.792270531,121,86
