,class,precision,recall,F1,accuracy,MAE,MPE,mean_F1_ev0
0,classifier24,0.142857143,0.00729927,0.013888889,0.006993007,13,0.094890511,0.333333333
0,classifier16,0.3,0.02189781,0.040816327,0.020833333,12.7,0.09270073,0.061308273
0,classifier200,0.9,0.065693431,0.12244898,0.065217391,12.7,0.09270073,0.296507937
0,classifier9,0.789473684,0.109489051,0.192307692,0.106382979,11.8,0.086131387,0.342865769
0,classifier7,0.730769231,0.138686131,0.233128834,0.131944444,11.1,0.081021898,0.485967778
0,classifier14,0.625,0.145985401,0.236686391,0.134228188,10.5,0.076642336,0.26297619
0,classifier17,0.71875,0.167883212,0.272189349,0.157534247,10.5,0.076642336,0.293361614
0,classifierBayes1,0.184343434,0.532846715,0.273921201,0.158695652,-25.9,-0.189051095,0.629077181
0,classifier201,0.228215768,0.401459854,0.291005291,0.170278638,-10.4,-0.075912409,0.605425473
0,classifier20,0.722222222,0.189781022,0.300578035,0.176870748,10.1,0.073722628,0.264595175
0,classifier10,0.742857143,0.189781022,0.302325581,0.178082192,10.2,0.074452555,0.448176937
0,classifierBayes2,0.241071429,0.591240876,0.342494715,0.206632653,-19.9,-0.145255474,0.704318494
0,classifierBayes4,0.217391304,0.875912409,0.348330914,0.210896309,-41.5,-0.302919708,0.564118024
0,classifier19,0.85,0.248175182,0.384180791,0.237762238,9.7,0.07080292,0.443247299
0,classifier5,0.733333333,0.321167883,0.446700508,0.287581699,7.7,0.05620438,0.460118129
0,classifierBayes5,0.312354312,0.97810219,0.473498233,0.310185185,-29.2,-0.213138686,0.637337734
0,classifier18,0.689189189,0.372262774,0.483412322,0.31875,6.3,0.045985401,0.43955266
0,classifier21,0.786885246,0.350364964,0.484848485,0.32,7.6,0.055474453,0.457792208
0,classifier15,0.75,0.372262774,0.497560976,0.331168831,6.9,0.050364964,0.505692818
0,classifier12,0.701298701,0.394160584,0.504672897,0.3375,6,0.04379562,0.56422948
0,classifier,0.447916667,0.627737226,0.522796353,0.353909465,-5.5,-0.040145985,0.663406738
0,classifier6,0.680851064,0.467153285,0.554112554,0.383233533,4.3,0.031386861,0.526785714
0,classifier22,0.75308642,0.445255474,0.559633028,0.388535032,5.6,0.040875912,0.494017127
0,classifier4,0.821917808,0.437956204,0.571428571,0.4,6.4,0.046715328,0.565228191
0,classifier8,0.794871795,0.452554745,0.576744186,0.405228758,5.9,0.043065693,0.575281704
0,classifier11,0.711340206,0.503649635,0.58974359,0.418181818,4,0.02919708,0.591371467
0,classifier3,0.654135338,0.635036496,0.644444444,0.475409836,0.4,0.002919708,0.589719826
0,classifier2,0.72972973,0.591240876,0.653225806,0.48502994,2.6,0.018978102,0.617299283
0,classifier202,0.671641791,0.656934307,0.664206642,0.497237569,0.3,0.002189781,0.641848049
0,classifierBayes3,0.709677419,0.642335766,0.674329502,0.50867052,1.3,0.009489051,0.57163379
0,classifier13,0,0,,0,13.1,0.095620438,
0,classifier23,,0,,0,13.7,0.1,
0,classifier25,0,0,,0,13.6,0.099270073,
